Day,Date,Fassala sim,Fassala data,Fassala error,Mentao sim,Mentao data,Mentao error,Dori sim,Dori data,Dori error,Damba sim,Damba data,Damba error,Djibo sim,Djibo data,Djibo error,Niamey sim,Niamey data,Niamey error,Mangaize sim,Mangaize data,Mangaize error,Ayorou sim,Ayorou data,Ayorou error,Tahoua sim,Tahoua data,Tahoua error,Abala sim,Abala data,Abala error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
28,2022-09-29,9714,11688,0.1689,8566,8673,0.0123,7160,7256,0.0132,4362,4559,0.0432,2218,2376,0.0665,36204,36643,0.012,5717,5768,0.0088,11086,11246,0.0142,12475,11089,0.125,21117,22318,0.0538,0.04877368300910544,121616,118906,118281,118619,213
29,2022-09-30,9711,11688,0.1691,8570,8673,0.0119,7165,7256,0.0125,4362,4559,0.0432,2214,2376,0.0682,36204,36643,0.012,5717,5768,0.0088,11080,11246,0.0148,12475,11089,0.125,21117,22318,0.0538,0.048807500782036,121616,118902,118281,118615,213
30,2022-10-01,9700,11688,0.1701,8570,8673,0.0119,7173,7256,0.0114,4362,4559,0.0432,2214,2376,0.0682,36204,36643,0.012,5717,5768,0.0088,11070,11246,0.0157,12475,11089,0.125,21117,22318,0.0538,0.048917408544060334,121616,118899,118281,118602,213
31,2022-10-02,9688,11688,0.1711,8571,8673,0.0118,7182,7256,0.0102,4362,4559,0.0432,2213,2376,0.0686,36204,36643,0.012,5717,5768,0.0088,11059,11246,0.0166,12475,11089,0.125,21117,22318,0.0538,0.0490357707493173,121616,118902,118281,118588,213
32,2022-10-03,9675,11688,0.1722,8573,8673,0.0115,7195,7256,0.0084,4362,4559,0.0432,2211,2376,0.0694,36204,36643,0.012,5717,5768,0.0088,11044,11246,0.018,12475,11089,0.125,21117,22318,0.0538,0.04916258739780692,121616,118899,118281,118573,213
33,2022-10-04,9664,11688,0.1732,8574,8673,0.0114,7199,7256,0.0079,4362,4559,0.0432,2210,2376,0.0699,36204,36643,0.012,5717,5768,0.0088,11039,11246,0.0184,12475,11089,0.125,21117,22318,0.0538,0.04926404071659861,121616,118893,118281,118561,213
34,2022-10-05,9645,11688,0.1748,8576,8673,0.0112,7204,7256,0.0072,4362,4559,0.0432,2208,2376,0.0707,36204,36643,0.012,5717,5768,0.0088,11033,11246,0.0189,12475,11089,0.125,21117,22318,0.0538,0.04943312958125143,121616,118893,118281,118541,213
35,2022-10-06,9637,11688,0.1755,8579,8673,0.0108,7210,7256,0.0063,4362,4559,0.0432,2205,2376,0.072,36204,36643,0.012,5717,5768,0.0088,11027,11246,0.0195,12475,11089,0.125,21117,22318,0.0538,0.04950076512711255,121616,118891,118281,118533,213
36,2022-10-07,9632,11688,0.1759,8584,8673,0.0103,7216,7256,0.0055,4362,4559,0.0432,2200,2376,0.0741,36204,36643,0.012,5717,5768,0.0088,11020,11246,0.0201,12475,11089,0.125,21117,22318,0.0538,0.049551491786508396,121616,118894,118281,118527,213
37,2022-10-08,9626,11688,0.1764,8585,8673,0.0101,7218,7256,0.0052,4362,4559,0.0432,2199,2376,0.0745,36204,36643,0.012,5717,5768,0.0088,11017,11246,0.0204,12475,11089,0.125,21117,22318,0.0538,0.049610672889136884,121616,118893,118281,118520,213
