name1,name2,distance,forced_redirection
Ebonyi,Borno,875.962593948557,0
Ebonyi,Ondo,313.9420831235713,0
Ebonyi,Kaduna,553.8309967786007,0
Ebonyi,Benue,218.3352450464733,0
Ebonyi,Enugu,54.82974542349435,0
Ebonyi,Kebbi,768.4113960114693,0
Ebonyi,Rivers,172.58178054631773,0
Ebonyi,Federal Capital Territory,342.9277258536783,0
Ebonyi,Ekiti,319.15228142575114,0
Ebonyi,Zamfara,685.5718265041626,0
Ebonyi,Katsina,705.6141416354242,0
Ebonyi,Delta,205.40150928568596,0
Ebonyi,Plateau,424.97648074422466,0
Ebonyi,Niger,476.5577128772229,0
Ebonyi,Kogi,204.2879209798325,0
Ebonyi,Imo,95.83201973972679,0
Ebonyi,Osun,408.1926278042456,0
Ebonyi,Yobe,870.5652374949137,0
Ebonyi,Edo,193.87125299560918,0
Ebonyi,Anambra,89.80660216803219,0
Ebonyi,Kwara,449.017383468499,0
Ebonyi,Lagos,491.9402349508402,0
Ebonyi,Cross River,140.89544656467663,0
Ebonyi,Kano,652.217032287447,0
Ebonyi,Akwa Ibom,130.49667903821188,0
Ebonyi,Oyo,543.3016425610774,0
Ebonyi,Bauchi,510.06010308242037,0
Ebonyi,Adamawa,616.0002439538129,0
Ebonyi,Taraba,395.56686018331965,0
Ebonyi,Jigawa,779.8226546116052,0
Ebonyi,Sokoto,793.1760652854068,0
Ebonyi,Nassarawa,258.57854218280517,0
Ebonyi,Abia,79.54589670022112,0
Ebonyi,Ogun,537.966403643359,0
Ebonyi,Bayelsa,256.91702669788845,0
Ebonyi,Gombe,555.3489272015094,0
Delta,Maradi,906.0405508650907,1
Delta,Ondo,233.76599136907674,0
Delta,Kaduna,634.7980054458241,0
Delta,Benue,396.2332449382203,0
Delta,Enugu,229.0896875723831,0
Delta,Kebbi,782.3499334921098,0
Delta,Rivers,108.59998147193735,0
Delta,Federal Capital Territory,422.8209673839576,0
Delta,Ekiti,293.98130786038763,0
Delta,Zamfara,723.0132450845429,0
Delta,Katsina,815.4210205110857,0
Delta,Ebonyi,205.40150928568596,0
Delta,Plateau,610.2276126403683,0
Delta,Niger,533.15045134288,0
Delta,Kogi,331.9730256740125,0
Delta,Imo,109.56976599627902,0
Delta,Osun,326.91790674346026,0
Delta,Edo,182.25947682928074,0
Delta,Anambra,130.60980497533237,0
Delta,Kwara,397.8719274656761,0
Delta,Lagos,330.39241592048626,0
Delta,Cross River,240.1315191752983,0
Delta,Kano,781.3504524354614,0
Delta,Akwa Ibom,167.37831698372116,0
Delta,Oyo,431.38039294808704,0
Delta,Bauchi,682.5436345806161,0
Delta,Adamawa,819.6755289045419,0
Delta,Taraba,600.7736793989425,0
Delta,Jigawa,940.070199089897,0
Delta,Sokoto,867.1144861444137,0
Delta,Nassarawa,447.9936197955711,0
Delta,Abia,150.19522005255055,0
Delta,Ogun,379.7393188693349,0
Delta,Bayelsa,52.88220417865865,0
Delta,Gombe,749.582096515483,0
Plateau,Chad,671.678048288424,1
Plateau,Diffa,524.6211751434932,1
Plateau,Minawao,448.7929302207982,1
Plateau,Maradi,552.7954062750979,1
Plateau,Borno,473.3890078510053,0
Plateau,Ondo,573.7791350232558,0
Plateau,Kaduna,394.23438808905144,0
Plateau,Benue,214.01936740682677,0
Plateau,Enugu,384.65496596018534,0
Plateau,Kebbi,685.9431886895886,0
Plateau,Rivers,597.5434638677264,0
Plateau,Federal Capital Territory,339.8402618236911,0
Plateau,Ekiti,508.73129656956223,0
Plateau,Zamfara,575.3063997474648,0
Plateau,Katsina,421.61712014140164,0
